age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
3.2188758248682006,0.0,12.461873107609152,11,11,4,0.0,3,0,0,0.0,0.0,45,0.0
3.367295829986474,0.0,12.24649456002909,12,10,0,0.0,3,0,0,0.0,0.0,24,0.0
3.912023005428146,0.0,11.873811529680426,4,5,5,6.0,1,0,0,0.0,0.0,38,0.0
3.2188758248682006,0.0,12.3404855245314,2,3,4,7.0,4,0,1,0.0,0.0,40,19.0
3.044522437723423,5.0,10.623860719349665,12,10,4,2.0,1,0,1,0.0,0.0,20,0.0
3.2188758248682006,0.0,11.398131706968147,4,5,4,2.0,3,0,0,0.0,0.0,40,35.0
4.060443010546419,0.0,11.96876678040346,12,10,2,1.0,2,0,0,0.0,0.0,40,0.0
3.4339872044851463,0.0,12.216255622586441,8,9,4,8.0,3,0,0,0.0,0.0,20,0.0
3.713572066704308,0.0,12.004170636757276,12,10,2,6.0,2,0,0,0.0,0.0,40,0.0
3.044522437723423,0.0,12.102599237053898,8,9,4,2.0,4,0,1,0.0,0.0,35,0.0
3.9889840465642745,0.0,12.379475380948755,8,9,2,1.0,2,0,0,0.0,0.0,35,0.0
3.9512437185814275,0.0,11.696695971529287,11,11,2,1.0,2,0,0,8.04044688130311,0.0,50,0.0
3.1354942159291497,0.0,12.486499713969701,8,9,4,4.0,4,0,1,0.0,0.0,42,4.0
2.9444389791664403,0.0,12.503856027536274,7,8,4,3.0,1,0,1,0.0,0.0,20,0.0
3.332204510175204,5.0,10.37148917911119,12,10,4,0.0,1,0,1,0.0,0.0,80,0.0
4.04305126783455,1.0,12.085987587251733,12,10,2,12.0,2,0,0,0.0,0.0,50,0.0
3.9318256327243257,0.0,12.616803863310839,8,9,4,7.0,3,0,0,0.0,0.0,40,0.0
3.332204510175204,0.0,11.719240202817465,3,4,2,10.0,2,0,0,0.0,0.0,40,0.0
3.8501476017100584,0.0,12.39642850735245,6,7,2,2.0,2,4,0,8.94754601503218,0.0,40,0.0
3.6375861597263857,4.0,12.072112589614097,12,10,0,12.0,5,0,0,0.0,0.0,48,4.0
3.4965075614664802,0.0,11.8748217539316,5,6,3,2.0,3,4,1,0.0,0.0,37,0.0
3.4011973816621555,0.0,13.120758089619073,12,10,2,5.0,2,0,0,0.0,0.0,40,0.0
3.58351893845611,0.0,10.853232402669228,12,10,4,10.0,3,0,0,0.0,0.0,40,0.0
4.07753744390572,0.0,11.754026805658215,5,6,2,1.0,2,0,0,0.0,0.0,50,0.0
3.9318256327243257,5.0,11.84336525721664,14,14,0,5.0,3,0,0,0.0,0.0,60,0.0
3.6375861597263857,4.0,10.707616917521953,14,14,2,5.0,0,0,1,0.0,0.0,45,0.0
3.6109179126442243,1.0,11.00658974647709,13,13,2,3.0,2,0,0,0.0,0.0,40,0.0
3.8918202981106265,4.0,11.354421992136468,13,13,2,5.0,2,0,0,0.0,0.0,45,0.0
3.8501476017100584,0.0,12.776557719602039,10,12,4,8.0,3,0,0,0.0,0.0,40,0.0
3.5553480614894135,5.0,12.72016193773176,12,10,0,12.0,5,4,0,0.0,0.0,47,0.0
3.713572066704308,2.0,12.748574246216608,9,15,2,5.0,2,0,0,0.0,0.0,50,0.0
3.332204510175204,0.0,12.121619810859748,8,9,2,6.0,2,0,0,0.0,0.0,40,0.0
3.970291913552122,0.0,10.804542811767506,8,9,2,7.0,2,0,0,0.0,0.0,40,0.0
2.9444389791664403,7.0,11.964841495417309,6,7,4,3.0,1,0,1,0.0,0.0,10,0.0
3.912023005428146,0.0,12.60706108161126,8,9,2,3.0,2,0,0,0.0,0.0,15,19.0
3.4339872044851463,0.0,11.00919130390684,8,9,2,8.0,1,2,1,0.0,0.0,40,0.0
4.127134385045092,2.0,11.695138682562371,13,13,2,3.0,2,0,0,0.0,0.0,50,0.0
3.044522437723423,1.0,12.08006714789506,12,10,4,7.0,3,0,1,0.0,0.0,40,0.0
3.295836866004329,0.0,12.788637366451141,8,9,4,2.0,4,4,1,0.0,0.0,40,0.0
2.995732273553991,0.0,12.59109352055718,8,9,4,8.0,1,0,1,0.0,0.0,20,0.0
3.4657359027997265,3.0,11.5262956839084,8,9,4,6.0,1,0,1,0.0,0.0,40,0.0
3.713572066704308,0.0,12.533536571743316,3,4,2,7.0,2,0,0,0.0,0.0,40,0.0
3.332204510175204,0.0,12.197470755122408,12,10,4,2.0,3,0,1,0.0,0.0,34,0.0
3.367295829986474,0.0,11.65649753090157,13,13,4,8.0,1,0,0,0.0,0.0,40,0.0
